id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit
1046,17:50:38 05-29-2014,18:02:04 05-29-2014,Left Breast,,,,11,Breast Milk,
1045,17:30:54 05-29-2014,17:47:53 05-29-2014,Right Breast,,,,16,Breast Milk,
1044,15:36:25 05-29-2014,15:49:37 05-29-2014,Left Breast,,,,13,Breast Milk,
1043,15:19:30 05-29-2014,15:35:06 05-29-2014,Right Breast,,,,15,Breast Milk,
1042,13:26:12 05-29-2014,13:35:14 05-29-2014,Right Breast,,,,9,Breast Milk,
1041,13:02:54 05-29-2014,13:24:31 05-29-2014,Left Breast,,,,21,Breast Milk,
1040,11:05:49 05-29-2014,11:28:13 05-29-2014,Right Breast,,,,22,Breast Milk,
1039,10:47:47 05-29-2014,11:05:48 05-29-2014,Left Breast,,,,18,Breast Milk,
1038,09:25:08 05-29-2014,09:31:56 05-29-2014,Right Breast,,,,6,Breast Milk,
1037,09:11:29 05-29-2014,09:24:56 05-29-2014,Left Breast,,,,13,Breast Milk,
1036,07:29:20 05-29-2014,07:44:43 05-29-2014,Left Breast,,,,15,Breast Milk,
1035,07:16:21 05-29-2014,07:29:19 05-29-2014,Right Breast,,,,12,Breast Milk,
1034,03:12:26 05-29-2014,03:24:33 05-29-2014,Bottle,3.00,88,,12,Liquid,IMPERIAL
1033,20:30:19 05-28-2014,20:37:21 05-28-2014,Left Breast,,,,7,Breast Milk,
1032,20:11:22 05-28-2014,20:30:18 05-28-2014,Right Breast,,,,18,Breast Milk,
1031,18:22:43 05-28-2014,18:30:47 05-28-2014,Right Breast,,,,8,Breast Milk,
1030,18:03:57 05-28-2014,18:19:06 05-28-2014,Left Breast,,,,15,Breast Milk,
1029,16:20:22 05-28-2014,16:38:59 05-28-2014,Left Breast,,,,18,Breast Milk,
1028,16:07:07 05-28-2014,16:20:21 05-28-2014,Right Breast,,,,13,Breast Milk,
1027,14:21:36 05-28-2014,14:39:29 05-28-2014,Left Breast,,,,17,Breast Milk,
1026,14:00:34 05-28-2014,14:21:36 05-28-2014,Right Breast,,,,21,Breast Milk,
1025,12:05:43 05-28-2014,12:22:35 05-28-2014,Left Breast,,,,16,Breast Milk,
1024,11:48:40 05-28-2014,12:05:42 05-28-2014,Right Breast,,,,17,Breast Milk,
1023,09:46:23 05-28-2014,09:58:36 05-28-2014,Left Breast,,,,12,Breast Milk,
1022,09:29:39 05-28-2014,09:44:59 05-28-2014,Right Breast,,,,15,Breast Milk,
1021,07:12:11 05-28-2014,07:20:21 05-28-2014,Left Breast,,,,8,Breast Milk,
1020,06:45:30 05-28-2014,06:57:00 05-28-2014,Right Breast,,,,11,Breast Milk,
1019,05:51:43 05-28-2014,05:56:13 05-28-2014,Right Breast,,,,4,Breast Milk,
1018,05:36:47 05-28-2014,05:46:19 05-28-2014,Left Breast,,,,9,Breast Milk,
1017,03:32:07 05-28-2014,03:41:02 05-28-2014,Left Breast,,,,8,Breast Milk,
1016,03:19:10 05-28-2014,03:31:22 05-28-2014,Right Breast,,,,12,Breast Milk,
1015,23:32:05 05-27-2014,23:47:17 05-27-2014,Bottle,3.50,103,,15,Liquid,IMPERIAL
1014,18:21:58 05-27-2014,18:29:20 05-27-2014,Left Breast,,,,7,Breast Milk,
1013,18:01:38 05-27-2014,18:21:57 05-27-2014,Right Breast,,,,20,Breast Milk,
1012,16:23:41 05-27-2014,16:38:57 05-27-2014,Right Breast,,,,15,Breast Milk,
1011,16:05:02 05-27-2014,16:20:37 05-27-2014,Left Breast,,,,15,Breast Milk,
1010,13:46:08 05-27-2014,14:03:18 05-27-2014,Left Breast,,,,17,Breast Milk,
1009,13:28:50 05-27-2014,13:44:23 05-27-2014,Right Breast,,,,15,Breast Milk,
1008,11:56:56 05-27-2014,12:15:14 05-27-2014,Right Breast,,,,18,Breast Milk,
1007,11:46:16 05-27-2014,11:56:40 05-27-2014,Left Breast,,,,10,Breast Milk,
1006,09:49:29 05-27-2014,09:56:30 05-27-2014,Right Breast,,,,7,Breast Milk,
1005,09:28:05 05-27-2014,09:42:07 05-27-2014,Left Breast,,,,14,Breast Milk,
1004,07:41:30 05-27-2014,07:51:37 05-27-2014,Right Breast,,,,10,Breast Milk,
1003,07:27:18 05-27-2014,07:40:50 05-27-2014,Left Breast,,,,13,Breast Milk,
1002,04:32:15 05-27-2014,04:41:26 05-27-2014,Left Breast,,,,9,Breast Milk,
1001,04:15:28 05-27-2014,04:32:14 05-27-2014,Left Breast,,,,16,Breast Milk,
1000,23:22:43 05-26-2014,23:32:57 05-26-2014,Bottle,4.00,118,,10,Liquid,IMPERIAL
999,17:30:00 05-26-2014,17:40:44 05-26-2014,Left Breast,,,,10,Breast Milk,
998,17:10:18 05-26-2014,17:27:29 05-26-2014,Right Breast,,,,17,Breast Milk,
997,15:24:42 05-26-2014,15:38:56 05-26-2014,Left Breast,,,,14,Breast Milk,
996,15:13:01 05-26-2014,15:24:40 05-26-2014,Right Breast,,,,11,Breast Milk,
995,13:33:50 05-26-2014,13:43:10 05-26-2014,Left Breast,,,,9,Breast Milk,
994,13:21:33 05-26-2014,13:31:49 05-26-2014,Right Breast,,,,10,Breast Milk,
993,11:21:53 05-26-2014,11:39:53 05-26-2014,Left Breast,,,,18,Breast Milk,
992,11:12:36 05-26-2014,11:21:52 05-26-2014,Right Breast,,,,9,Breast Milk,
991,09:21:01 05-26-2014,09:34:01 05-26-2014,Right Breast,,,,12,Breast Milk,
990,09:04:52 05-26-2014,09:18:28 05-26-2014,Left Breast,,,,13,Breast Milk,
989,07:27:06 05-26-2014,07:35:10 05-26-2014,Left Breast,,,,8,Breast Milk,
988,07:08:06 05-26-2014,07:22:22 05-26-2014,Right Breast,,,,14,Breast Milk,
987,04:29:06 05-26-2014,04:35:24 05-26-2014,Left Breast,,,,6,Breast Milk,
986,04:03:36 05-26-2014,04:10:39 05-26-2014,Bottle,1.50,44,,7,Liquid,IMPERIAL
985,02:30:42 05-26-2014,02:43:40 05-26-2014,Right Breast,,,,12,Breast Milk,
984,19:39:16 05-25-2014,19:57:54 05-25-2014,Left Breast,,,,18,Breast Milk,
