id, Start Time, End Time, Feeding History ID
79,1401376467723,1401376477557,1040
78,1401369723655,1401369736444,1037
77,1401300949714,1401301090030,1026
76,1401138881088,1401138889239,998
75,1401126047572,1401126056605,995
74,1401125993859,1401126002953,995
73,1400974161987,1400975249898,970
72,1400971365213,1400971441827,968
71,1400782135047,1400782137366,931
70,1400767062091,1400767063085,927
68,1400711362376,1400711372415,917
67,1400704999547,1400705588324,916
65,1400689302594,1400689311800,910
64,1400628986206,1400629003069,902
63,1400601758372,1400601776014,894
62,1400523557728,1400523590380,879
60,1400183694218,1400183704119,812
59,1400180471358,1400180481170,810
58,1400153675851,1400153683808,802
56,1400113513547,1400113522081,792
55,1400022183613,1400022255890,770
54,1400001839785,1400001911231,767
53,1399976882719,1399976985876,758
52,1399939180007,1399939226889,752
51,1399924585994,1399924655578,748
49,1399916137980,1399916304370,745
48,1399868224354,1399868289898,735
47,1399790206645,1399790458921,722
46,1399669789534,1399669792509,698
45,1399647779834,1399647791464,690
44,1399646075943,1399646306077,689
43,1399645936250,1399645947656,689
42,1399589833088,1399589842626,674
41,1399571136374,1399571275557,670
40,1399561195732,1399561211975,665
39,1399505861191,1399506487159,652
38,1399499174522,1399499175619,649
37,1399411737904,1399412580208,627
36,1399335076066,1399335094112,612
35,1399286505121,1399286800172,590
34,1399077880754,1399078184416,541
33,1399062397883,1399062424212,533
32,1399036976958,1399037051103,527
31,1398985551386,1398985567280,514
30,1398831470318,1398832091462,472
29,1398812322577,1398812325380,467
28,1398787479556,1398787482804,461
27,1398787467456,1398787470663,461
26,1398684224604,1398684247813,433
25,1398386125443,1398386217640,359
24,1398293956469,1398294012500,335
23,1398187559482,1398187671306,311
22,1398129240440,1398129252090,297
21,1398125473222,1398125661109,296
20,1398111664018,1398111756998,292
19,1398019389566,1398019972611,268
18,1397978053504,1397978268384,258
17,1397786425801,1397786759155,209
16,1397707688500,1397707824152,186
15,1397653590366,1397653616671,175
14,1397629664569,1397629767077,170
13,1397606075703,1397606076344,164
12,1397581587921,1397581718890,159
11,1397564429880,1397564441593,152
10,1397487416904,1397487471989,132
9,1397442939254,1397443024672,119
8,1397271419721,1397271618795,75
7,1397271205082,1397271247862,75
6,1397253799395,1397254043819,70
5,1397132523789,1397133108156,39
4,1397123903288,1397123904067,37
3,1397109992151,1397110845820,35
2,1397082691230,1397083522028,28
1,1396981312818,1396981449337,11
